id,evidence_class,topic,source,date,key_finding,operationalization,affected_skills,url
R13,B,Architecture patterns,Anthropic — Building effective agents,2024-12-19,Workflows have predefined paths while agents adapt their process; simple composable patterns should be preferred.,"Define architecture escalation from direct call and deterministic workflow to bounded loop, graph, and multi-agent.",agentic-engineering; loop-engineering; multi-agent-engineering,https://www.anthropic.com/engineering/building-effective-agents
R14,B,Context engineering,Anthropic — Effective context engineering for AI agents,2025-09-29,"Context is a finite attention budget; high-signal retrieval, curation, provenance, and compaction matter more than maximal volume.","Add context classes, retrieval policy, progressive disclosure, and compaction checkpoints.",context-repository-engineering; harness-engineering,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents
R15,B,Long-running agents,Anthropic — Effective harnesses for long-running agents,2025-11-26,"Long-running work benefits from initialization, progress files, compaction, resumable state, and fresh-session continuation.",Provide durable plan/handoff formats and state/checkpoint requirements.,context-repository-engineering; harness-engineering; agent-first-software-engineering,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents
R16,B,Coding-agent practice,Anthropic — Claude Code best practices,2026,"Concise repository guidance, verification loops, hooks/permissions, and scoped parallel work improve coding-agent outcomes.","Require fast/full validation, concise guidance, ownership, and fresh verification while avoiding default privileged hooks.",context-repository-engineering; multi-agent-engineering; agent-first-software-engineering,https://www.anthropic.com/engineering/claude-code-best-practices
R17,B,Agent evaluation,Anthropic — Demystifying evals for AI agents,2026-01-09,"Multi-turn agents require evaluation of trajectories, graders, environments, and lifecycle behavior, not only final answers.","Split outcome, trajectory, recovery, safety, and operational evals.",agent-evals-observability; loop-engineering; graph-workflow-engineering,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents
R18,B,Tool design,Anthropic — Writing effective tools for AI agents,2025-09-11,"Tool names, descriptions, schemas, examples, boundaries, and tool-specific evals materially affect agent behavior.","Ship a semantic tool contract with schemas, effects, errors, permissions, and adversarial tests.",harness-engineering; agent-evals-observability; rust-agent-protocols,https://www.anthropic.com/engineering/writing-tools-for-agents
R19,B,Agent skills,Anthropic — Equipping agents for the real world with Agent Skills,2025-10-16,"Modular procedural knowledge can be packaged for progressive, reusable agent capability.",Keep skill jobs narrow and place depth in local references/assets.,context-repository-engineering; agentic-engineering,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills
R20,B,Multi-agent systems,Anthropic — How we built our multi-agent research system,2025-06-13,"Multi-agent systems require careful decomposition, independent work, coordination, integration, evaluation, and cost control.","Gate multi-agent use and provide delegation, ownership, fan-in, partial-failure, and coordination metrics.",multi-agent-engineering; agent-evals-observability,https://www.anthropic.com/engineering/multi-agent-research-system
R21,A,Graphs and state,LangChain — LangGraph overview,2026,Explicit state graphs can combine deterministic and model-driven nodes with persistence and human-in-the-loop execution.,Define state/node/edge contracts and use graphs only when consequential control flow must be explicit.,graph-workflow-engineering; agentic-engineering,https://docs.langchain.com/oss/python/langgraph/overview
R22,A,Graphs and state,LangChain — LangGraph Graph API,2026,"Graph APIs expose state, nodes, edges, reducers, branches, joins, and super-step execution.","Provide reducer, join, edge, node, and graph verification contracts.",graph-workflow-engineering,https://docs.langchain.com/oss/python/langgraph/graph-api
R23,A,Persistence,LangChain — LangGraph persistence,2026,Checkpointers preserve thread state while stores support broader memory; durability has explicit state semantics.,Separate checkpoints from memory/cache and require versioned state/replay tests.,graph-workflow-engineering; rust-agent-durability,https://docs.langchain.com/oss/python/langgraph/persistence
R24,A,Human interrupts,LangChain — LangGraph interrupts,2026,Interrupts persist state and resume later; code before an interrupt may replay and must be idempotent.,"Split prepare/approve/execute, validate stale resumes, and test replay around interrupts.",graph-workflow-engineering; agent-security-governance; rust-agent-durability,https://docs.langchain.com/oss/python/langgraph/interrupts
R25,A,Durable effects,Temporal — Activity Definition / idempotency,2026,"At-least-once activity execution requires granular, idempotent effects and stable keys.","Require action IDs, effect journals, idempotency and reconciliation around external effects.",harness-engineering; rust-agent-durability,https://docs.temporal.io/activity-definition
R26,A,Durability testing,Temporal — Pre-production testing,2026,"Killing/restarting workers tests replay, idempotency, retries, and recovery before production.",Include crash-point and replay fault matrices for graphs and Rust runtimes.,graph-workflow-engineering; rust-agent-durability; rust-agent-verification,https://docs.temporal.io/develop/test-suite
R27,A,Tools and protocols,Model Context Protocol — 2026-07-28 specification release,2026-07-28,"Modern MCP is stateless-first and uses full JSON Schema 2020-12 where supported; Roots, Sampling, Logging, Dynamic Client Registration, and legacy HTTP+SSE are deprecated for new implementations, with compatibility windows.","Use stateless-first schema-validated tools for new work, avoid new dependencies on deprecated features, and retain compatibility only for a named current consumer.",harness-engineering; agent-security-governance; rust-agent-protocols,https://blog.modelcontextprotocol.io/posts/2026-07-28/
R28,A,Agent protocols,A2A Protocol v1.0,1.0.0 current; reviewed 2026-08-08,"A2A v1.0 defines interoperable discovery, task lifecycle, artifacts, identity, and controls for independently operated agent systems; it is not a protocol for internal subagents or tool calls.","Adopt A2A only for a real independent cross-system boundary; keep internal worker delegation and tool calls on native typed contracts.",multi-agent-engineering; rust-agent-protocols,https://a2a-protocol.org/latest/announcing-1.0/
R29,A,Protocol boundaries,A2A Protocol — A2A and MCP comparison,2026,MCP primarily addresses agent-to-tool/resource integration while A2A addresses peer-agent interaction.,Keep tool and peer-agent boundaries distinct and do not adopt either protocol without a real interoperability need.,agentic-engineering; rust-agent-protocols,https://a2a-protocol.org/latest/topics/a2a-and-mcp/
R30,A,Workflow patterns,Google Agent Development Kit — workflow agents,2026,"Sequential, parallel, and loop agents provide deterministic orchestration patterns.",Distinguish deterministic workflows/fan-out from adaptive loops and multi-agent systems.,agentic-engineering; loop-engineering; multi-agent-engineering,https://google.github.io/adk-docs/agents/workflow-agents/
R31,A,Workflow graphs,Microsoft Agent Framework — workflows,2026,"Typed routing, graph workflows, checkpointing, and human-in-the-loop are first-class orchestration concerns.","Require typed routes, checkpoints, interrupts, and verification matrices.",graph-workflow-engineering; harness-engineering,https://learn.microsoft.com/en-us/agent-framework/workflows/
R32,A,Spec-driven development,GitHub — Spec Kit,2026,"Spec-driven development packages constitution, specification, planning, tasks, and implementation for coding agents.","Provide an execution contract, architecture brief, plan, ADR, and acceptance matrix.",codex-task-contract; agent-first-software-engineering,https://github.com/github/spec-kit
R33,A,Spec-driven development,GitHub Spec Kit — Agentic SDD reference,2026,"Agentic SDD separates clarify, plan, checklist, tasks, analysis, implementation, and convergence.",Use phase-specific artifacts and make convergence evidence explicit.,codex-task-contract; loop-engineering; agent-first-software-engineering,https://github.com/github/spec-kit/blob/main/docs/reference/overview.md
R34,C,Coding benchmarks,SWE-bench — Verified,2026,Human-validated real GitHub issue-to-patch tasks provide a more reliable coding benchmark subset.,"Prefer repository-grounded, exact-task eval fixtures and accepted-artifact evidence.",agent-evals-observability; agent-first-software-engineering,https://www.swebench.com/verified.html
R35,C,Agent benchmarks,Stanford / Laude Institute — Terminal-Bench,2026,Terminal-environment tasks test practical execution across software and systems domains.,"Evaluate tools, trajectories, state, and environment interaction—not only text generation.",agent-evals-observability; harness-engineering,https://www.tbench.ai/
R36,C,Reliability measurement,METR — Task-Completion Time Horizons,2026-05-08,Model reliability varies with task duration and should be represented as curves/distributions rather than a single capability claim.,Calibrate autonomy and verification to task horizon; avoid treating model capability as deterministic.,agent-evals-observability; codex-task-contract,https://metr.org/time-horizons/
R37,C,Coding-agent benchmark,Research paper — SWE Atlas,2026-05-08,"Coding-agent evaluation should include repository Q&A, tests, refactoring, and work beyond issue resolution.","Broaden eval scenarios across architecture, verification, maintenance, and repository understanding.",agent-evals-observability; agent-first-software-engineering,https://arxiv.org/html/2605.08366v1
R38,A,Agent security,OWASP — Agentic Security Initiative,2026,"Agentic systems introduce risks across identity, tools, memory, protocols, actions, governance, and supply chains.","Ship a threat model, injection/provenance policy, capability/approval controls, and incident protocol.",agent-security-governance; rust-agent-verification,https://genai.owasp.org/initiatives/agentic-security-initiative/
R39,A,Observability,OpenTelemetry specification 1.59.0 / semantic conventions 1.43.0,1.59.0 / 1.43.0; reviewed 2026-08-08,"OpenTelemetry defines versioned traces, metrics, logs, and semantic conventions; experimental GenAI fields remain version-sensitive rather than immutable domain evidence.","Adopt stable fields selectively, version experimental mappings, protect sensitive data, and keep product and claim evidence independent of telemetry conventions.",agent-evals-observability; harness-engineering; rust-agent-verification,https://opentelemetry.io/docs/specs/
R40,B,Agent UX,Google — Introducing A2UI,2025-12,"Structured, bounded agent-generated interfaces are an emerging direction for agent-to-user interaction.",Treat interactive approvals and artifacts as explicit contracts rather than unconstrained generated UI.,agent-security-governance; agent-first-software-engineering,https://developers.googleblog.com/introducing-a2ui-an-open-project-for-agent-driven-interfaces/
R41,A,Agent UX,Model Context Protocol — MCP Apps,2026,MCP-backed apps can add interactive user surfaces to tool integrations.,Keep UI optional and consequence-focused; the plugin ships instruction assets without mandatory connectors or apps.,harness-engineering; agent-security-governance,https://modelcontextprotocol.io/docs/extensions/apps
R42,D,Design method,User-provided Design Judgment Codex plugin,2026,"A six-gate method separates situation, evidence, divergence, commitment, interaction contract, and verification with calibrated confidence.","Reuse evidence traceability, explicit decision commitment, behavior contracts, and release-gate discipline for this plugin.",all skills,user-provided: design-judgment-codex-plugin.zip
R43,B,GPT-5.6,OpenAI — GPT-5.6: Frontier intelligence that scales with your ambition,2026-07-09,"GPT-5.6 adds stronger coding and tool-heavy programmatic execution that can coordinate tools, process intermediate results, and choose next actions.","Optimize prompts for decision-complete contracts, typed tools, programmatic aggregation, and evidence-backed stopping.",codex-task-contract; harness-engineering; loop-engineering; multi-agent-engineering,https://openai.com/index/gpt-5-6/
R44,A,GPT-5.6 Sol,OpenAI — Codex models,2026-07-22 accessed,"GPT-5.6 Sol is the flagship Codex model for complex coding, computer use, research, and cybersecurity; medium is the default power setting and deeper effort is available.",Ship a Sol operating profile and reserve high/Max/Ultra for named complexity rather than using maximum effort by default.,codex-task-contract; agentic-engineering; multi-agent-engineering,https://developers.openai.com/codex/models
R45,A,Skills,OpenAI — Build skills (current Codex documentation),2026-07-22 accessed,Skill metadata is discovered before full instructions; concise front-loaded trigger descriptions and focused jobs improve selection.,"Create focused skills with trigger-oriented descriptions, negative activation boundaries, named output contracts, and deep local references; split broad domains when activation conditions or decision artifacts differ.",all skills,https://developers.openai.com/codex/build-skills
R46,A,Plugins,OpenAI — Skills & Plugins,2026-07-22 accessed,A skill is a focused reusable workflow; a plugin is an installable bundle that can combine skills and connectors/MCP.,Package the operationalization as an installable plugin while keeping external connectors optional.,agentic-engineering; context-repository-engineering,https://developers.openai.com/codex/skills-and-plugins
R47,A,Plugins,OpenAI — Build plugins,2026-07-22 accessed,Codex plugins use a manifest and can package skills under a marketplace structure for installation and sharing.,"Follow the current `.codex-plugin/plugin.json`, `skills/`, and marketplace layout and validate it statically.",agentic-engineering,https://learn.chatgpt.com/docs/build-plugins
R48,A,Repository instructions,OpenAI — Custom instructions with AGENTS.md,2026-07-22 accessed,Codex reads AGENTS.md before work and applies layered repository guidance.,Provide layered AGENTS.md pattern and keep stable rules out of per-task prompts.,context-repository-engineering; agent-first-software-engineering,https://developers.openai.com/codex/agent-configuration/agents-md
R49,A,Subagents,OpenAI — Subagents,2026-07-22 accessed,Codex can spawn specialized parallel agents and collect their results; this is most useful for highly parallel work.,"Require explicit delegation, ownership, evidence, fan-in, cancellation, and a multi-agent entry gate.",multi-agent-engineering,https://developers.openai.com/codex/subagents
R50,B,Agent loops,OpenAI — Unrolling the Codex agent loop,2026-01-23,The Codex harness implements an iterative user/model/tool loop with context assembly and execution logic.,Make observe/plan/act/verify/update and tool/effect state explicit instead of relying on a vague iterative prompt.,loop-engineering; harness-engineering,https://openai.com/index/unrolling-the-codex-agent-loop/
R51,B,Harness architecture,OpenAI — Unlocking the Codex harness: how we built the App Server,2026-02-04,"The Codex harness includes thread persistence, configuration/authentication, tool execution, skills, sandboxing, and a stable event stream through App Server.","Treat lifecycle, state, tools, extensions, configuration, authentication, and events as harness concerns.",harness-engineering; agent-evals-observability,https://openai.com/index/unlocking-the-codex-harness/
R52,B,Agent runtime,OpenAI — The next evolution of the Agents SDK,2026-04-15,Separating harness from compute supports controlled sandbox execution and long-horizon work.,Keep execution identities and sandboxes separate from the control plane and persist state outside ephemeral workers.,harness-engineering; agent-security-governance,https://openai.com/index/the-next-evolution-of-the-agents-sdk/
R53,A,Codex customization,OpenAI — Codex customization overview,2026-07-22 accessed,"Skills are discoverable, reusable workflows with richer instructions, scripts, and references without loading all content up front.",Use progressive disclosure and avoid monolithic always-on guidance.,context-repository-engineering; agentic-engineering,https://developers.openai.com/codex/customization/overview
R54,A,Codex releases,OpenAI — Codex changelog,2026-07-22 accessed,"Codex surfaces, plugin management, permissions, subagent visibility, and model support evolve rapidly.",Add a research/update policy and avoid hard-coding unstable availability or UI details beyond the research lock.,agentic-engineering; codex-task-contract,https://developers.openai.com/codex/changelog
R55,A,Rust runtime,Tokio — Graceful Shutdown,2026-07-22 accessed,"Graceful shutdown combines detection, cancellation tokens, and waiting for tasks to finish.","Require stop-intake, cancellation propagation, tracked drain, reconciliation, persistence, and a final deadline.",rust-agent-runtime,https://tokio.rs/tokio/topics/shutdown
R56,A,Rust runtime,Tokio — runtime documentation,2026-07-22 accessed,Tokio schedules async tasks cooperatively; blocking or non-yielding work can stall core threads and runtime lifetime has explicit semantics.,"Separate blocking work, supervise tasks, and make task/runtime ownership explicit.",rust-agent-runtime,https://docs.rs/tokio/latest/tokio/runtime/
R57,A,Rust backpressure,Tokio — Semaphore,2026-07-22 accessed,Semaphores bound concurrent access by permits and await capacity.,Use per-resource bounded concurrency with cancellation/deadlines and overload metrics.,rust-agent-runtime,https://docs.rs/tokio/latest/tokio/sync/struct.Semaphore.html
R58,A,Rust verification,The Cargo Book — cargo check,2026-07-22 accessed,"`cargo check` type-checks packages without final code generation and is faster, but some code-generation errors remain outside its coverage.","Use `cargo check` as an early gate, not a substitute for tests and release builds.",rust-agent-verification,https://doc.rust-lang.org/cargo/commands/cargo-check.html
R59,A,Rust verification,The Cargo Book — cargo test,2026-07-22 accessed,"`cargo test` compiles and runs unit, integration, and documentation tests.",Include workspace/unit/integration/doc tests in the verification ladder.,rust-agent-verification,https://doc.rust-lang.org/cargo/commands/cargo-test.html
R60,A,Rust verification,The Cargo Book — cargo clippy,2026-07-22 accessed,Clippy is an official toolchain component for additional lint analysis.,Include project-policy Clippy checks and do not claim unavailable linting passed.,rust-agent-verification,https://doc.rust-lang.org/cargo/commands/cargo-clippy.html
R61,A,Rust verification,The Cargo Book — cargo fmt,2026-07-22 accessed,Rustfmt is an official toolchain component invoked through Cargo for formatting.,Include deterministic format checks in fast and release gates.,rust-agent-verification,https://doc.rust-lang.org/cargo/commands/cargo-fmt.html
R62,A,Rust undefined behavior,The Cargo Book — cargo miri / Miri,2026-07-22 accessed,Miri runs compatible binaries/tests in an interpreter and can detect classes of undefined behavior; it is a nightly optional component.,Use Miri selectively for unsafe/FFI-sensitive code and report it separately from ordinary tests.,rust-agent-verification,https://doc.rust-lang.org/cargo/commands/cargo-miri.html
R63,A,Rust concurrency testing,Tokio project — Loom,2026-07-22 accessed,Loom explores concurrent executions of small synchronization tests using state reduction.,Use Loom for narrow concurrency primitives while retaining integration and process fault tests.,rust-agent-verification; rust-agent-runtime,https://docs.rs/loom/latest/loom/
R64,A,Rust supply chain,RustSec Advisory Database,2026-07-22 accessed,RustSec provides a vulnerability advisory database and tooling such as cargo-audit for Cargo.lock.,Include dependency advisory/exception policy and exact artifact provenance in CI guidance.,rust-agent-verification; agent-security-governance,https://rustsec.org/
R65,A,Rust CI,The Cargo Book — Continuous Integration,2026-07-22 accessed,Cargo documents build/check/test patterns for CI and highlights target/version considerations.,Provide PR/release verification matrices rather than one local command.,rust-agent-verification; agent-first-software-engineering,https://doc.rust-lang.org/cargo/guide/continuous-integration.html
R66,A,MCP Rust,Model Context Protocol — official Rust SDK in the 2026-07-28 protocol era,2026-08-08 reviewed,"The Rust SDK can implement MCP clients and servers, but SDK use must follow the stateless-first 2026-07-28 era and avoid new dependencies on deprecated Roots, Sampling, Logging, Dynamic Client Registration, and legacy HTTP+SSE surfaces.","Keep MCP in an adapter crate, use full JSON Schema 2020-12 where supported, validate and authorize server-side, and test only compatibility surfaces required by a current consumer.",rust-agent-protocols; agent-security-governance,https://github.com/modelcontextprotocol/rust-sdk
R67,A,A2A Rust,A2A Project v1.0 — official Rust SDK (a2a-rs),1.0.0; reviewed 2026-08-08,"The Rust workspace implements A2A v1 protocol types and transports for independently operated agent systems, not internal subagents or ordinary tool calls.","Use only for a real interoperable peer boundary; isolate wire types, map durable task lifecycle, authenticate peers, and test independent interoperability.",rust-agent-protocols; multi-agent-engineering,https://github.com/a2aproject/a2a-rs
R68,A,Rust durability,Restate — Rust SDK documentation,2026-07-22 accessed,Rust applications can use a durable execution platform for persisted invocations and workflow/service semantics.,"Present durable runtime adoption as an option requiring hard-semantics proof, not a default framework dependency.",rust-agent-durability; rust-agentic-architecture,https://docs.restate.dev/develop/rust/overview
R69,A,Rust observability,Rig — Observability documentation,2026-07-22 accessed,Rust agent frameworks expose tracing/observability integration but application evidence and policy remain separate concerns.,Keep framework telemetry behind adapters and require run/action/evidence IDs independent of one framework.,rust-agentic-architecture; rust-agent-verification,https://docs.rig.rs/docs/concepts/observability
R70,A,Rust schemas,Schemars — JSON Schema generation for Rust,2026-07-22 accessed,"Schemars derives JSON Schema from Rust types, supporting schema-first protocol/tool surfaces while still requiring review for compatibility and semantics.",Provide typed wire DTOs and schema snapshots but require semantic validation and protocol compatibility tests.,rust-agent-protocols; rust-agent-verification,https://docs.rs/schemars/latest/schemars/
R71,A,Agent improvement loops,OpenAI — Agent Improvement Loop,2026-05-12,"A production-grade improvement loop starts with real traces, gathers human and model feedback, converts findings into evals, and changes prompts, tools, policy, or harness behavior before re-running the loop.","Require a trace-to-change ledger that links field observations to hypotheses, regression fixtures, product or harness changes, rollout evidence, and keep/revert decisions.",authentic-use-engineering; agent-evals-observability; agentic-product-lifecycle,https://developers.openai.com/cookbook/examples/agents_sdk/agent_improvement_loop
R72,A,Agent evaluation,OpenAI — Macro Evals for Agentic Systems,2026-07-22 accessed,"Agentic systems require evaluation across end-to-end outcomes, trajectories, tool behavior, and interaction patterns rather than isolated model responses alone.","Make authentic-use evidence joinable to outcome, trajectory, intervention, recovery, and system-version records; use field-derived cases to maintain macro evals.",authentic-use-engineering; agent-evals-observability; continuous-product-experimentation; software-construction-quality,https://developers.openai.com/cookbook/examples/partners/macro_evals_for_agentic_systems/macro_evals_for_agentic_systems
R73,B,Human oversight and autonomy,Anthropic — Measuring AI agent autonomy in practice,2026-06-25,"Real use shows autonomy is graded and shaped by task duration, intervention, human oversight, and deployment context; capability does not imply unrestricted authority.","Use an autonomy-and-exposure ladder with observed intervention burden, effect risk, and recovery evidence as promotion criteria rather than treating autonomy as binary.",authentic-use-engineering; agent-security-governance; agentic-product-lifecycle,https://www.anthropic.com/research/measuring-agent-autonomy
R74,B,Agent evaluation,Anthropic — Demystifying evals for AI agents,2026-01-09,"Useful agent evaluations start from representative tasks and failure modes, combine multiple graders and transcript inspection, and mature through an iterative process rather than a single score.","Require task-distribution coverage, grader calibration, trace review, failure-derived regressions, and explicit limits on what offline evals prove.",authentic-use-engineering; agent-evals-observability; software-construction-quality,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents
R75,A,Deployed AI monitoring,NIST AI 800-4 — Challenges to the Monitoring of Deployed AI Systems,2026-03-06,"The report organizes monitoring categories and open challenges; it does not prescribe or validate a universal post-deployment monitoring methodology.","Use its categories to formulate context-specific monitoring questions; do not convert them into mandatory infrastructure or a product-quality claim.",authentic-use-engineering; production-readiness-sre; continuous-product-experimentation; maintenance-retirement-engineering; agent-security-governance,https://doi.org/10.6028/NIST.AI.800-4
R76,A,AI risk lifecycle,NIST AI RMF — Core and Playbook,2026-07-22 accessed,"AI risk work spans Govern, Map, Measure, and Manage and should be continuous, context-sensitive, documented, and connected to human and organizational decision rights.","Map lifecycle artifacts and field-learning decisions to governance, context, measurement, and risk-treatment responsibilities rather than treating evaluation as an isolated technical task.",agentic-product-lifecycle; authentic-use-engineering; agent-security-governance; requirements-systems-engineering,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/
R77,C,Silent and shadow evaluation,Nature Medicine — Silent trials in healthcare AI: a scoping review,2025-04-14,"Silent deployment can test workflow fit, data quality, calibration, integration, and operational behavior without influencing decisions, but inconsistent terminology and reporting limit comparability.","Define shadow or silent operation precisely, record exposure and counterfactual outputs, prohibit unapproved effects, and specify evidence required to advance beyond observation-only operation.",authentic-use-engineering; concept-feasibility-validation; continuous-product-experimentation,https://www.nature.com/articles/s44360-025-00048-z
R78,C,Silent evaluation,The silent trial — a bridge from algorithms to clinical practice,2022-08-18,"Prospective silent evaluation reveals performance, implementation, and workflow problems that retrospective validation cannot expose while avoiding direct impact on live decisions.","Use prospective shadow-mode trials where risk warrants, with predeclared endpoints, representative workflow coverage, mismatch review, and transition criteria.",authentic-use-engineering; concept-feasibility-validation; production-readiness-sre,https://pmc.ncbi.nlm.nih.gov/articles/PMC9424628/
R79,B,Online experimentation,Microsoft Research — Patterns of Trustworthy Experimentation: During-Experiment Stage,2021-01-25,"Trustworthy online experiments require treatment integrity, data-quality checks, trustworthy analysis, monitoring during exposure, and protection against interpretation pitfalls.","Require assignment, exposure, outcome, and telemetry integrity checks; freeze decision rules before reading results; stop or invalidate experiments with unresolved data-quality failures.",continuous-product-experimentation; authentic-use-engineering; production-readiness-sre,https://www.microsoft.com/en-us/research/group/experimentation-platform-exp/articles/patterns-of-trustworthy-experimentation-during-experiment-stage/
R80,B,Experiment data quality,Microsoft Research — Diagnosing Sample Ratio Mismatch in A/B Testing,2020-08-17,"Sample ratio mismatch is a symptom of assignment, execution, logging, analysis, or survivorship problems and can make apparent treatment effects untrustworthy.",Make sample-ratio and exposure-integrity checks blocking experiment gates; diagnose the mechanism before using results for product decisions.,continuous-product-experimentation; authentic-use-engineering,https://www.microsoft.com/en-us/research/articles/diagnosing-sample-ratio-mismatch-in-a-b-testing/
R81,C,Long-term experimentation,Microsoft Research — Pitfalls of Long-Term Online Controlled Experiments,2016-12-01,"Long-running experiments can be distorted by identity instability, survivorship and selection bias, novelty, carryover, and misleading trends.","Require long-horizon metric and cohort reasoning, stable assignment analysis, carryover policy, and explicit limits on extrapolating short-term effects.",continuous-product-experimentation; maintenance-retirement-engineering,https://www.microsoft.com/en-us/research/publication/pitfalls-of-long-term-online-controlled-experiments/
R82,B,Generative-AI experimentation,Microsoft Research — Experimentation in Generative AI: C++ Team Practices for Continuous Improvement,2024-11-12,"Generative-AI product development benefits from complementary offline evaluation, online experimentation, qualitative inspection, feedback, and continuous iteration because no single measure captures quality.",Combine controlled metrics with trace review and user/workflow evidence; use field failures to update offline datasets and product mechanisms.,authentic-use-engineering; continuous-product-experimentation; agent-product-discovery,https://www.microsoft.com/en-us/research/articles/experimentation-in-genai-c-teams-practices-for-continuous-improvement/
R83,A,Software lifecycle,ISO/IEC/IEEE 12207:2026 — Software life cycle processes,2026,"Software lifecycle work is a set of interrelated technical, management, agreement, and support processes that can be tailored to context and iterated across the life of a system.","Represent the lifecycle as an assurance network with tailored decisions, artifacts, evidence, roles, and feedback paths rather than a mandatory waterfall.",agentic-product-lifecycle; software-construction-quality; secure-delivery-release; maintenance-retirement-engineering,https://www.iso.org/standard/90219.html
R84,A,Systems lifecycle,ISO/IEC/IEEE 15288:2023 — System life cycle processes,2023,"Systems engineering spans conception through utilization, support, and retirement, integrating stakeholder needs, architecture, verification, validation, transition, operation, and disposal.","Keep product, software, operational, support, and retirement decisions connected; require mission threads and lifecycle-wide evidence continuity.",agentic-product-lifecycle; requirements-systems-engineering; production-readiness-sre; maintenance-retirement-engineering,https://www.iso.org/standard/81702.html
