decision_id,repository,foundation_id,observed_change,affected_decision,decision_owner,disposition_no_change_update_replace_retire,implementation_or_test_delta,claim_ceiling,review_trigger,date,candidate_commit,notes
AE-AQ8-CUSTODY-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"AQ8 needs fresh blinded cases whose downstream labels are mechanically reachable under H4 and a one-shot execution boundary that cannot replay the same corpus",AQ8 corpus and execution custody,root conductor,update,"Freeze the task-text-only AQ8 corpus contract and an AQ8-namespaced one-shot run index before either split is authored","Structural corpus-contract and run-index custody only; no corpus, qualification, runtime, provider, model, sandbox, product, efficacy or promotion claim",Independent split authoring plus frozen validator and exact-candidate zero-model proof,2026-08-10,a31038253e6cb0900731c33ee3dc2f20985c2e47,"Contract tree aabe520b88571f56d7ae65a34e3722ccbf08f01f; run index c1e76aa60a6dc47a1f93405f2f9cc68768ea529a / 40658253ac3d471e52b1696011b92308480986ff; no AQ8 cases or results existed at freeze; AS blocked"
AE-AQ8-CORPUS-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"Two independent blinded AQ8 splits were authored under the frozen H4/gate/contract and passed mechanical, semantic, historical and similarity falsification",AQ8 future activation corpus,root conductor,update,"Freeze corpus J and its exact validator; retain it unconsumed until a formula-closed exact candidate passes zero-model preflight and one authorized canary","Structural corpus integrity and blinding custody only; no qualification, runtime, provider, model, sandbox, product, efficacy or promotion claim",Formula authority plus exact-candidate zero-model proof and canary,2026-08-10,46174c0c5eb3da9b6134305329ebc36cc5108847,"Corpus tree 163677779d0db59b586a91d4d3becf21803afb2e; validator a062c8319bde9296068749e85612bb9061016efa / d644cd465ef13fcbfebf1311d115030c58859119; 72/64/8/40; history 0/504; similarity 0/2556; unconsumed; AS blocked"
AE-AQ8-METRICS-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,"Pre-execution corpus falsification proved the frozen gates lacked exact numerator denominator eligibility aggregation and undefined-denominator arithmetic",AQ8 metric and evaluator authority,root conductor,update,"Freeze a corpus-blind and result-blind exact formula authority before any model observation; require 20 per-condition gates plus seven complete-run gates under global logical AND","Structural metric-arithmetic authority only; no corpus outcome qualification runtime provider model sandbox product efficacy promotion authority or effect claim",Exact-candidate zero-model scorer proof and authorized canary,2026-08-10,a07147eee19ac17f22113fc6b8cc673a0c761764,"Metric tree 8ddbad21796ece86c2676dea622d0235e37990d8; 27 definitions and 47 evaluations; exact typed arithmetic and malformed/undefined fail closure; no corpus or outcome binding; corpus J unconsumed; AS blocked"
"AE-AQ9-E0-FIREWALL-2026-08-10","RLTree/agentic-engineering","current-2026-08-08","review access exceeded allowed E0 envelope; no prohibited detail","AQ9/H5 continuation","root conductor","retire","record E0 packet/verdict and terminally close without H5/K","structural process-failure only","AR bounded retirement and stop","2026-08-10","a8ae421c4e8619f4cc72cd91bbd7f65da1928f5d","packet path evals/foundation-v4/aq9-h5-independent-evidence-v1.json; verdict path evals/foundation-v4/aq9-h5-independent-evidence-verdict-v1.json; commit a8ae421c4e8619f4cc72cd91bbd7f65da1928f5d; tree 077968d10f9172c2cf86468c3b91c2137dfbffa4; packet blob 34bb5efc8411961227b374d7ae3b610cda628de7 SHA256 1ec15fa32f3ad262eb95d913c964854799546a0397874cfa803322b4bb761fcd; verdict blob b6b142e935381baada66e4d148364d4f22d55e88 SHA256 374825c130d076e4d298c0a8d004fc5d6f33c201715ffefb190f98c2c87815da; AS/AC/AH/AF blocked"
AE-AR-TERMINAL-2026-08-10,RLTree/agentic-engineering,current-2026-08-08,terminal AR pair records a bounded structural closeout after the terminal AQ9 process failure; no prohibited detail,further program execution,root conductor,retire,"record DO_NOT_RELEASE_OR_PROMOTE and STOP only; retain all surfaces in place; execute no deletion, migration, release, promotion, publication, model, field, or downstream-stage action",structural-terminal-closeout-only,none; terminal STOP; do not reopen,2026-08-10,8b08f2a829e05d8de6ed737321b4d1a32cc9df87,tree 777ab9af3450802b03679650d87441ab6a07495d; artifact path evals/foundation-v4/ar-terminal-decision-v1.json blob 841bab37a125a986da8b41d8591e6fc09da6ed26 SHA256 62f4f2f222962c58fdd5cca09231edb533ad5a4339e2f09a0e0084decb3dbc3b; test path tests/test_ar_terminal_decision_v1.py blob ab8da0e5bc38c2d8eb1ec9b4518abcb3f0c2b41e SHA256 20ca2404034dc21e0aba1cfa2411f5255e664b49cec6a8a4d755f3ca9a7d767c; successful-program conditions remain unmet; AQ9/AS/AC/AH/AF permanently blocked
"AE-SQ1-F0-2026-08-10","RLTree/agentic-engineering","current-2026-08-08","Owner authorized AE-SQ1 as a distinct successor after immutable predecessor terminal closeout; only terminal bits cross the boundary","active successor program authority","root conductor","update","Freeze docs/exec-plans/active/ae-sq1.md and evals/ae-sq1/program-authority.json before candidate, heldout, or model work; preserve predecessor Git bytes","structural-program-authority-frozen only; no candidate, evaluation, runtime, host, field, release, publication, promotion, deletion, or migration claim","F1 independent external-evidence authority or any proposed F0 semantic change","2026-08-10","340b79399a987e6aad0d5435fa540a1db511489d","Plan raw SHA256 a7080db226bf499dd3037afe683361e4ccba0c1093ce3bc4e456520e2176a382; predecessor tree c47aeb3642d7fdcf90f47f990ddf3915f3cbb933; base commit is historical custody, not a future AE-SQ1 commit; AE-SQ1 is not AQ10, H6, retry, resume, reopen, cure, or reinterpretation; all stage work remains HOLD"
"AE-SQ1-AQ-AR-2026-08-11","RLTree/agentic-engineering","current-2026-08-08","AE-SQ1 exact AQ canary was terminally invalid with four calls started and zero completed assessor capsules; no heldout observation or batch occurred","AE-SQ1 successor qualification","root conductor","retire","Record the exact AQ aggregate failure and AR DO_NOT_RELEASE_OR_PROMOTE/STOP; retain all surfaces; execute no AS, AC, AH, AF field action, release, publication, promotion, deletion, migration, reopen, resume, H6, retry, or further model/corpus call","Exact-candidate canary terminal status and structural terminal closeout only; no activation, adviser value, composition, host, field, production, provider, model, release, or effect claim","AR terminal record and stop; no downstream edge","2026-08-11","0417fdd1174508fc0591be9a3e89263f25592b25","Run tree ee4b0d8d07b14c5ee545956ebec119cdb077eb7e; candidate freeze 0635f3d633f02bb99afd2e1218ec1135735a7496/5b756da72fd112ce365c5e0e3957385ee5e6aa2a; aggregate db08bb0c33b6016fb321011359c67639ee5b396d62095bc1aad1086dca76795f; AR decision 6c36eeeab8759b1c064e14e2f65f57a98953ee4dacf15a4dec909642f32e2d21; terminal test 4b14e4cf9f40277fd2dc12feda63e42a49c56788495d3d66e5ba96813ddbe2ba; heldout corpus unconsumed; AS/AC/AH blocked; AF omitted"
"AE-SQ2-F0-2026-08-12","RLTree/agentic-engineering","current-2026-08-08","Owner authorized distinct AE-SQ2 after immutable AE-SQ1 terminal closeout, including a bounded diagnostic before repaired freeze and gated live qualification","active successor program authority","root conductor","update","Freeze docs/exec-plans/active/ae-sq2.md and evals/ae-sq2/program-authority.json; authorize D0-F6 in order with diagnostic 4, canary 4, batch 320, fresh 2 x 20 corpus only after F1, zero-model preflight, global AND, and pass-only routing","Structural program authority and unexecuted owner authorization only; no diagnostic, corpus, candidate freeze, qualification, downstream, host, field, production, release, publication, promotion, deletion, or migration claim","Closed SQ2-D0 diagnostic record or any proposed F0 semantic change","2026-08-12","9861df7c7894b35f5ce758ee1b005f80ceb0426e","Plan raw SHA256 21cba55af6067d9af1f934d2a58d964f2d7c11df5791ee9e510cf8ebb2fdaf9b; base tree 573f53baa839a3b088548a7e7ba2050003911a7a; AE-SQ1 tag ae-sq1-terminal-2026-08-11 remains immutable; AE-SQ2 is not retry, reopen, resume, H6, AQ10, cure, reinterpretation, or AE-SQ1 continuation; gpt-5.5 medium with no fallback is controlled configuration, not behavioral evidence; this F0 lane made zero live calls and authored zero corpus cases"
"AE-SQ2-AR-2026-08-12","RLTree/agentic-engineering","current-2026-08-08","SQ2-D0 completed four synthetic calls with schema_unsupported=4 and zero usage, but its durable one-shot state persisted fields outside F0's exhaustive permitted-field list","AE-SQ2 successor qualification","root conductor","retire","Record SQ2-AR DO_NOT_RELEASE_OR_PROMOTE and STOP; preserve the bounded diagnosis and every predecessor/state surface; execute no SQ2 F1, corpus, preflight, canary, batch, scoring, downstream, release, publication, promotion, deletion, or migration","Structural governance failure and bounded diagnostic closeout only; no AQ, behavioral, corpus, candidate, downstream, provider-generalization, product, host, field, production, release, or effect claim","New owner-authorized program identity only; AE-SQ2 remains terminal","2026-08-12","e2562ca4da5f3dc14fb07c1522f911e2dfe4334d","Diagnostic record blob f5dc5b67435c78d0b214ac21fc69531c9bae7d3e raw SHA256 1e2352fe42453b03cafac06e9c2e98638af17ad6a3e5dfaf389baf9da39d6502 internal 5bb323666e5fe54d39df3fb91a65e1dd44c96ac5a4f3c9e967d2481a5eda5e9c aggregate d333397b1bc0a633d80ac43bbf1ae6e9b5aafdfb6af5b01ad5493f9fb3292235; no corpus authored and no qualification call occurred"
"AE-SQ3-F0-2026-08-12","RLTree/agentic-engineering","current-2026-08-08","Owner authorized AE-SQ3 as a distinct new successor after terminal SQ2, importing only the bounded schema_unsupported diagnosis and exact custody","active successor program authority","root conductor","update","Freeze docs/exec-plans/active/ae-sq3.md and evals/ae-sq3/program-authority.json; implement supported provider-schema subset plus local semantic validation, two-commit F1 freeze before fresh independent 2 x 20 corpus, one zero-model preflight, one four-call canary, conditional 320-call batch, global AND, and pass-only downstream routing","Structural successor authority and bounded predecessor diagnosis only; no candidate implementation, corpus, preflight, qualification, downstream, provider-generalization, host, field, production, release, publication, promotion, deletion, or migration claim","SQ3-F1A zero-model zero-corpus implementation or any proposed F0 semantic change","2026-08-12","e2562ca4da5f3dc14fb07c1522f911e2dfe4334d","AE-SQ3-SLEC-3 is a new candidate identity; no SQ3 diagnostic calls; gpt-5.5 medium no fallback; qualification ceiling 324 and retry ceiling zero; exact unified durable state keys and nested bindings are authority; this F0 lane executes no model call and authors no corpus"
"AE-SQ3-AR-2026-08-12","RLTree/agentic-engineering","current-2026-08-08","SQ3-F1A c06c433 is NOT_PASS because its frozen checker requires an invented D0 program_id and wrong mode diagnostic; published sibling b31e8b6 shares the defect and is superseded","AE-SQ3 successor qualification","root conductor","retire","Record SQ3-AR DO_NOT_RELEASE_OR_PROMOTE and STOP; preserve both F1A objects and exact SQ2-D0 custody; execute no SQ3 F1B, corpus, preflight, canary, batch, scoring, downstream, retry, refreeze, release, publication, promotion, deletion, or rewrite","Structural F1A custody and checker-contract failure only; zero SQ3 model calls and no corpus, preflight, freeze, AQ result, downstream, provider-generalization, product, host, field, production, release, or effect claim","New owner-authorized distinct program identity only; AE-SQ3 remains terminal","2026-08-12","c06c433cdc2581e1747c10e520eb2fdd857cdccd","F1A tree 54312ecc9469801a90e02a32ca7c44d7a6fcf699; checker blob 4db0968a6873bf819e1fa35ad587dcdcf28dd5f1 raw SHA256 d91a0804d86e006da1965bdfe4d0b2111f1885981e4c536ca6c5a13cc4df5c34; exact D0 record has no program_id and mode live; F1B absent; corpus/preflight/model calls absent"
"AE-SQ4-F0-2026-08-12","RLTree/agentic-engineering","current-2026-08-08","Owner authorized AE-SQ4 as a distinct new successor after terminal SQ3, importing only the source-backed provider repair contract and exact SQ2-D0 aggregate custody","active successor program authority","root conductor","update","Freeze docs/exec-plans/active/ae-sq4.md and evals/ae-sq4/program-authority.json; require one corrected F1A direct child and one manifest-only F1B before a fresh independent 2 x 20 corpus, one zero-model preflight, one four-call canary, conditional 320-call batch, global AND, and pass-only routing","Structural successor authority and source-backed repair contract only; no candidate implementation, corpus, preflight, qualification, downstream, provider-generalization, host, field, production, release, publication, promotion, deletion, or migration claim","SQ4-F1A zero-model zero-corpus implementation or any proposed F0 semantic change","2026-08-12","c06c433cdc2581e1747c10e520eb2fdd857cdccd","AE-SQ4-SLEC-4 is a new candidate identity, not retry or refreeze; no SQ4 diagnostic calls; checker must validate actual D0 closed fields and digests without invented program_id or wrong mode; gpt-5.5 medium no fallback; qualification ceiling 324 and retry ceiling zero; F0 authors no corpus and makes no model call"
"AE-SQ4-AR-2026-08-13","RLTree/agentic-engineering","current-2026-08-08","SQ4-F2 is NOT_PASS because both sealed authored split authorities bind F1B 6357b87c as candidate identity while the frozen runtime requires F1A implementation 3762efae","AE-SQ4 successor qualification","root conductor","retire","Record SQ4-AR DO_NOT_RELEASE_OR_PROMOTE and STOP; preserve F0, F1, author, and F2A objects; execute no F2B, preflight, canary, batch, scoring, downstream, retry, repair, refreeze, corpus reuse, release, publication, deletion, or migration","Structural F2A and standalone corpus-validation evidence only; not F2 PASS, qualification, runtime, provider, product, host, field, production, release, or effect evidence","New owner-authorized distinct program with fresh candidate and fresh corpus only; AE-SQ4 remains terminal","2026-08-13","8b1a26dc6951d7052429197af5d8dffe3636bbb3","F2A tree fd76825a250466fbfabff8b75d307cb8cb017814; standalone aggregate validator PASS for 40 cases with combined corpus feaa03f2afd815bbc661d6c9de99c2cf53410f472206b2a2cd4b964f5bb1f122 does not compensate; exact PreflightError corpus split authority is not the frozen F1 candidate; zero SQ4 model calls; no F2B, F3, one-shot claim, AQ result, or downstream"
"AE-SQ5-F0-2026-08-13","RLTree/agentic-engineering","current-2026-08-08","Owner authorized AE-SQ5 as a distinct successor after terminal SQ4, importing only the aggregate structural candidate-vs-freeze authority mismatch","active successor program authority","root conductor","update","Freeze docs/exec-plans/active/ae-sq5.md and evals/ae-sq5/program-authority.json; require one mechanically fresh exact-role F1A, one manifest-only F1B, a zero-corpus real-byte F1G, exact fresh-corpus F2A merge, and direct-child run-manifest-only F2B with embedded independent PASS receipt before preflight, one four-call canary, conditional 320-call batch, global AND, and pass-only routing","Structural successor authority and unexecuted contract-repair plan only; no candidate implementation, corpus, preflight, qualification, runtime, downstream, provider-generalization, host, field, production, release, publication, promotion, deletion, or migration claim","SQ5-F1A zero-model zero-corpus implementation or any proposed F0 semantic change","2026-08-13","6357b87cfae9e488bbb1489541ec03d577803463","AE-SQ5-SLEC-5 requires an exact 31-role path closure with every active blob and raw digest non-aliased against every SQ4 F1A role; predecessor evidence is provenance only; F1G uses the exact frozen production loader; all five F2 JSON artifacts are canonical UTF-8 100644 blobs; only F2B PASS opens F3; gpt-5.5 medium, zero diagnostics, 4 plus 320 maximum, zero retry, and global AND"
"AE-SQ5-AR-2026-08-13","RLTree/agentic-engineering","current-2026-08-08","The committed SQ5 F1G receipt is 1623 bytes with a trailing line feed while production canonical JSON is 1622 bytes without it; detached F2B _load_base_state rejects the exact committed receipt before F2 validation","AE-SQ5 successor qualification","root conductor","retire","Record SQ5-AR DO_NOT_RELEASE_OR_PROMOTE and STOP; preserve F0 through F1G; retain F2A e74e3ef5 and F2B 4760ecb5 only as unreferenced unpublished evidence; execute no F3, canary, batch, scoring, downstream, retry, repair, refreeze, corpus reuse, release, publication, deletion, or migration","Exact committed-byte custody and production-loader rejection only; no F2 qualification, preflight, model, runtime-success, downstream, provider-generalization, product, host, field, production, release, or effect claim","New owner-authorized distinct program with fresh candidate and fresh corpus only; AE-SQ5 remains terminal","2026-08-13","4af4ad00cc11b903a2b6d796b3578d7e76e0aaca","F1G blob 4a307072266ac6e879ca06704e73b2af4b337418 raw SHA256 ffe6dca737c8e2a9f93a5bcdf596bec2569d6998efcc79d6583dd39ffb2a216d size 1623 ends LF; production canonical SHA256 52b7b29bfbe85b8260e659a17273793ebbfa90c3e7c5afb3e0b9d56588a9203d size 1622 no LF; exact PreflightError F1G receipt is not exact canonical UTF-8 JSON; F3 not attempted and model, canary, batch calls zero; SQ5 author task material and F2 objects prohibited from successor reuse"
"AE-SQ6-F0-2026-08-13","RLTree/agentic-engineering","current-2026-08-08","Owner authorized AE-SQ6 as a distinct successor after terminal SQ5, importing only the aggregate committed-receipt canonical-byte mismatch","active successor program authority","root conductor","update","Freeze docs/exec-plans/active/ae-sq6.md and evals/ae-sq6/program-authority.json; require a fresh zero-corpus F1A, manifest-only F1B, canonical no-line-feed F1G whose exact committed bytes pass real target-frozen _load_base_state preauthor mode before authoring, fresh independent 2 x 20 F2A and receipt-bound F2B, one zero-model preflight, one four-call canary, conditional 320-call batch, global AND, and pass-only routing","Structural successor authority and unexecuted canonical-receipt repair plan only; no candidate implementation, corpus, preflight, qualification, runtime, downstream, provider-generalization, host, field, production, release, publication, promotion, deletion, or migration claim","SQ6-F1A zero-model zero-corpus implementation or any proposed F0 semantic change","2026-08-13","4af4ad00cc11b903a2b6d796b3578d7e76e0aaca","AE-SQ6-SLEC-6 is distinct; writer and verifier share canonical compact sorted UTF-8 JSON with no trailing byte; positive uses exact committed F1G bytes through target-frozen _load_base_state preauthor mode; one-line-feed red is rejected; authoring tool refuses task material without committed PASS receipt; gpt-5.5 medium, zero diagnostics, 4 plus 320 maximum, zero retry, and global AND"
"AE-SQ6-AR-2026-08-13","RLTree/agentic-engineering","current-2026-08-08","The sole frozen SQ6 validate_corpora attempt returned errors selected_reference_anchor and holds empty after both independent 20-case author objects were sealed","AE-SQ6 successor qualification","root conductor","retire","Record SQ6-AR DO_NOT_RELEASE_OR_PROMOTE and STOP; preserve F0 through F1G and consumed author objects; create no F2A, F2B, preflight, canary, batch, scoring, downstream, retry, repair, refreeze, replacement, corpus reuse, release, publication, deletion, or migration","Exact committed-object custody and aggregate frozen-validator evidence only; no F2 qualification, preflight, model, runtime-success, downstream, provider-generalization, product, host, field, production, release, or effect claim","New owner-authorized distinct program with fresh candidate and fresh corpus only; AE-SQ6 remains terminal","2026-08-13","421ba8911139d48630f411d2af50541590f0dc93","Validator had 40 qualified IDs, exact profile 6 none 16 single 8 two 4 cap 4 explicit 2 uncertain, all six pairs, 400 comparisons, maximum 0.2638888888888889 below 0.80, and 768 historical digests; these subchecks cannot compensate; no F2A or F2B, F3, one-shot state, result, downstream, or model calls; all SQ6 task corpus label schedule author and result bytes prohibited from reuse"
"AE-SQ7-F0-2026-08-13","RLTree/agentic-engineering","current-2026-08-08","Owner authorized AE-SQ7 as a distinct successor after terminal SQ6, importing only the aggregate selected_reference_anchor validation seam","active successor program authority","root conductor","update","Freeze docs/exec-plans/active/ae-sq7.md and evals/ae-sq7/program-authority.json; require fresh active-role bytes, manifest-only F1B, canonical no-line-feed F1G plus production-real selected-reference-anchor positive and missing/wrong reds before authors, fresh independent 2 x 20 F2A and receipt-bound F2B, one preflight, one four-call canary, conditional 320-call batch, global AND, and pass-only routing","Structural successor authority and unexecuted selected-reference-anchor repair plan only; no candidate implementation, corpus, preflight, qualification, runtime, downstream, provider-generalization, host, field, production, release, publication, promotion, deletion, or migration claim","SQ7-F1A zero-model zero-corpus implementation or any proposed F0 semantic change","2026-08-13","421ba8911139d48630f411d2af50541590f0dc93","AE-SQ7-SLEC-7 is distinct; no SQ6 active-role or task corpus label schedule author result or F2 byte reuse; exact target-frozen validator and resolver must pass a reference-requiring selected-anchor synthetic fixture and reject missing and wrong anchor reds before authoring; canonical committed F1G no-LF gate retained; gpt-5.5 medium, 4 plus 320 maximum, zero retry, global AND"
